	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	SPAlignerVSGraphAligner
268	1	0	0	37	897	5967	Different
269	1	0	0	37	897	5967	Different
270	1	0	0	37	897	5967	Different
271	1	0	0	37	897	5967	Different
272	1	0	0	24	884	5151	Different
273	1	0	0	37	897	5967	Different
274	1	0	0	24	884	5151	Different
275	1	0	0	24	884	5151	Different
276	88	642	7593	88	642	7593	Full
277	1	0	0	24	884	5151	Different
278	1	0	0	24	884	5151	Different
279	37	897	5967	37	897	5967	Full
280	1	0	0	0	0	0	MatchOnPath
281	1	0	0	24	881	5151	Different
282	1	0	0	24	879	5151	Different
283	1	0	0	24	881	5151	Different
284	1	0	0	24	881	5151	Different
285	1	0	0	24	881	5151	Different
286	1	0	0	24	881	5151	Different
287	1	0	0	24	881	5151	Different
288	1	0	0	24	881	5151	Different
289	1	0	0	24	879	5151	Different
290	1	0	0	24	884	5151	Different
291	1	0	0	24	884	5151	Different
292	1	0	0	24	881	5151	Different
293	24	881	5151	24	881	5151	Full
294	24	884	5151	24	884	5151	Full
295	24	884	5151	24	884	5151	Full
296	24	881	5151	24	881	5151	Full
297	24	879	5151	24	879	5151	Full
298	24	881	5151	24	881	5151	Full
299	1	0	0	24	884	5151	Different
300	37	897	5967	37	897	5967	Full
301	24	884	5151	24	884	5151	Full
302	37	897	5967	37	897	5967	Full
303	1	0	0	7594	9600	32799	Different
304	37	897	5967	37	897	5967	Full
305	37	897	5967	37	897	5967	Full
306	37	897	5967	37	897	5967	Full
307	37	897	5967	37	897	5967	Full
308	37	894	5967	37	894	5967	Full
309	37	897	5967	37	897	5967	Full
310	24	884	5151	24	884	5151	Full
311	24	884	5151	24	884	5151	Full
312	37	897	5967	37	897	5967	Full
313	37	894	5967	37	894	5967	Full
314	24	884	5151	24	884	5151	Full
315	24	884	5151	24	884	5151	Full
316	1	0	0	73	546	27465	Different
317	37	897	5967	37	897	5967	Full
318	24	884	5151	24	884	5151	Full
319	37	897	5967	37	897	5967	Full
320	24	884	5151	24	884	5151	Full
321	24	884	5151	24	884	5151	Full
322	37	897	5967	37	897	5967	Full
323	24	884	5151	24	884	5151	Full
324	24	884	5151	24	884	5151	Full
325	37	897	5967	37	897	5967	Full
326	37	897	5967	37	897	5967	Full
327	24	884	5151	24	884	5151	Full
328	1	0	0	13889	14308	1851	Different
329	1	0	0	13889	14308	1851	Different
330	1	0	0	24	884	5151	Different
331	1	0	0	37	897	5967	Different
332	1	0	0	37	897	5967	Different
333	18	884	5151	18	884	5151	Full
334	18	884	5151	18	884	5151	Full
335	24	884	5151	24	884	5151	Full
336	1	0	0	1560	2384	7593	Different
337	37	897	5967	37	897	5967	Full
338	1	0	0	0	0	0	MatchOnPath
339	37	897	5967	37	897	5967	Full
340	24	884	5151	24	884	5151	Full
341	1	0	0	6668	7487	7845	Different
342	1	0	0	13481	14614	4579	Different
343	1	0	0	19427	20104	7827	Different
344	23377	24345	3167	23377	24345	3167	Full
345	1	0	0	1620	2786	3493	Different
346	1	0	0	24	884	5151	Different
347	37	897	5967	37	897	5967	Full
348	37	897	5967	37	897	5967	Full
349	40	642	7593	56	642	7593	MatchOnPath
350	1	0	0	24	884	5151	Different
351	1	0	0	37	897	5967	Different
352	1	0	0	209	868	77	Different
353	3649	4431	499	3649	4431	499	Full
354	1	0	0	1427	2158	499	Different
355	1	0	0	720	1361	173	Different
356	37	897	5967	37	897	5967	Full
357	24	884	5151	24	884	5151	Full
358	1	0	0	37	897	5967	Different
359	37	897	5967	37	897	5967	Full
360	37	897	5967	37	897	5967	Full
361	37	897	5967	37	897	5967	Full
362	37	897	5967	37	897	5967	Full
363	1	0	0	37	897	5967	Different
364	37	897	5967	37	897	5967	Full
365	1	0	0	46	888	5967	Different
366	24	884	5151	24	884	5151	Full
367	1	0	0	24	884	5151	Different
368	1	0	0	37	897	5967	Different
369	1	0	0	37	897	5967	Different
370	1	0	0	37	897	5967	Different
371	1	0	0	54	833	5151	Different
372	1	0	0	37	897	5967	Different
373	37	897	5967	37	897	5967	Full
374	37	894	5967	37	894	5967	Full
375	37	894	5967	37	894	5967	Full
376	37	894	5967	37	894	5967	Full
377	37	894	5967	37	894	5967	Full
