	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	BandageVSGraphAligner	ResultsBandageVSGraphAligner
218	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
219	(1688) 7591+ (2479) , (712) 7593+ (1498)	1688, 712	2479, 1498	7591,7593	1688	2479	7591	Different	SinglePathFull
220	(124) 7593+ (642)	124	642	7593	124	642	7593	Full	SinglePathFull
221	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
222	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
223	(88) 7593+ (642)	88	642	7593	88	642	7593	Full	SinglePathFull
224	(37) 5967+ (894)	37	894	5967	37	894	5967	Full	SinglePathFull
225	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
226	(10685) 27823+ (11983)	10685	11983	27823	10685	11989	27823	MatchOnPath	SinglePathStartMatch
227	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
228	(15310) 655+ (17034)	15310	17034	655	15310	17034	655	Full	SinglePathFull
229	(15102) 33285- (16757)	15102	16757	33285	15102	16757	33285	Full	SinglePathFull
230	(9173) 2227- (10297) , (11591) 2851- (12680)	9173, 11591	10297, 12680	2227,2851	9173	10297	2227	Different	SinglePathFull
231	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
232	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
233	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
234	(24) 5151- (836)	24	836	5151	24	836	5151	Full	SinglePathFull
235	(24) 5151- (836)	24	836	5151	24	836	5151	Full	SinglePathFull
236	(24) 5151- (836)	24	836	5151	24	836	5151	Full	SinglePathFull
237	(24) 5151- (836)	24	836	5151	24	836	5151	Full	SinglePathFull
238	(24) 5151- (836)	24	836	5151	24	836	5151	Full	SinglePathFull
239	(196) 117- (957)	196	957	117	196	957	117	Full	SinglePathFull
